repitation,model,fold,feature_name,importance_value
0,ExtreTrees_feature_ranking_reduced,3,revrs_abandoned_changes_recent,0.04125251335473906
0,ExtreTrees_feature_ranking_reduced,4,created_weekday_owner_tz,0.13328759073706356
0,ExtreTrees_feature_ranking_reduced,4,created_hours_utc,0.062416635085228184
0,ExtreTrees_feature_ranking_reduced,4,created_hours_owner_tz,0.059011278293271116
0,ExtreTrees_feature_ranking_reduced,4,betweenness_centrality,0.0456850935987566
0,ExtreTrees_feature_ranking_reduced,4,core_number,0.04524946951742324
0,ExtreTrees_feature_ranking_reduced,4,insertions,0.048809387414689195
0,ExtreTrees_feature_ranking_reduced,4,deletions,0.038430894415102265
0,ExtreTrees_feature_ranking_reduced,4,num_files_type,0.020442526158814308
0,ExtreTrees_feature_ranking_reduced,4,sum_complexity,0.03134122129936604
0,ExtreTrees_feature_ranking_reduced,4,num_binary_files,0.0016076330934581416
0,ExtreTrees_feature_ranking_reduced,4,subject_length,0.04439437966370961
0,ExtreTrees_feature_ranking_reduced,4,msg_word_count,0.04388108660513174
0,ExtreTrees_feature_ranking_reduced,4,is_non_fonctional,0.015960049242752742
0,ExtreTrees_feature_ranking_reduced,4,is_refactoring,0.021609929673027342
0,ExtreTrees_feature_ranking_reduced,4,is_corrective,0.022334170493087193
0,ExtreTrees_feature_ranking_reduced,4,is_preventive,0.017585409107104027
0,ExtreTrees_feature_ranking_reduced,4,has_feature_addition,0.02192413820339727
0,ExtreTrees_feature_ranking_reduced,4,is_merge,0.007747822621422925
0,ExtreTrees_feature_ranking_reduced,4,num_files_changes,0.0414526130230967
0,ExtreTrees_feature_ranking_reduced,4,num_owner_open_changes_recent,0.04552950501380345
0,ExtreTrees_feature_ranking_reduced,4,owner_age,0.04901036101106837
0,ExtreTrees_feature_ranking_reduced,4,owner_changes_messages_avg,0.04596150156269564
0,ExtreTrees_feature_ranking_reduced,4,num_prior_owner_project_changes,0.04498580392405797
0,ExtreTrees_feature_ranking_reduced,4,num_project_open_changes_recent,0.050758284216335645
0,ExtreTrees_feature_ranking_reduced,4,revrs_abandoned_changes_recent,0.04058321602613673
0,ExtreTrees_feature_ranking_reduced,5,created_weekday_owner_tz,0.129849842594376
0,ExtreTrees_feature_ranking_reduced,5,created_hours_utc,0.06338513308991951
0,ExtreTrees_feature_ranking_reduced,5,created_hours_owner_tz,0.059934698572760674
0,ExtreTrees_feature_ranking_reduced,5,betweenness_centrality,0.0461903424705905
0,ExtreTrees_feature_ranking_reduced,5,core_number,0.04544353553854369
0,ExtreTrees_feature_ranking_reduced,5,insertions,0.0480237248631633
0,ExtreTrees_feature_ranking_reduced,5,deletions,0.03879768817530051
0,ExtreTrees_feature_ranking_reduced,5,num_files_type,0.020285720823491483
0,ExtreTrees_feature_ranking_reduced,5,sum_complexity,0.03039621332809264
0,ExtreTrees_feature_ranking_reduced,5,num_binary_files,0.0015229328740249586
0,ExtreTrees_feature_ranking_reduced,5,subject_length,0.04422699170396419
0,ExtreTrees_feature_ranking_reduced,5,msg_word_count,0.043968356001647876
0,ExtreTrees_feature_ranking_reduced,5,is_non_fonctional,0.016139456254702336
0,ExtreTrees_feature_ranking_reduced,5,is_refactoring,0.021169009491674332
0,ExtreTrees_feature_ranking_reduced,5,is_corrective,0.022057304951186758
0,ExtreTrees_feature_ranking_reduced,5,is_preventive,0.017123162074590824
0,ExtreTrees_feature_ranking_reduced,5,has_feature_addition,0.021555517573322427
0,ExtreTrees_feature_ranking_reduced,5,is_merge,0.007570380199304341
0,ExtreTrees_feature_ranking_reduced,5,num_files_changes,0.041460697173043674
0,ExtreTrees_feature_ranking_reduced,5,num_owner_open_changes_recent,0.04776780061517336
0,ExtreTrees_feature_ranking_reduced,5,owner_age,0.049503607312113465
0,ExtreTrees_feature_ranking_reduced,5,owner_changes_messages_avg,0.04589200558331481
